tweet	label
<USER> me too I fell off pretty much everything	sadness
feel so sorry for Hayes like I thought she was well in with them both then the other two got together	trust
I just need to say that the Titanic Exhibit was epic . I'm kind of surprised I didn't burst into a fit of hysterical crying . #Quigg	sadness
I'm trying to be a nice person but everyone is just so stupid . >.<	anger
soo my parents got me a coach purse for my graduation present :) #lovethem #Graduation	joy
at how many people are pissed off about a trend started by <USER> Well done . The elephants shall not forget this .	disgust
Aww she can't help that's she's a extrabitch ..	sadness
Sad to hear the current SL songs . Same crying words . Different melodies . Yester year too there were sad songs but good compositions .	sadness
P2 Ongeval Wegvervoer Materieel th Vergiliusstraat 3 Zaandam - Vergiliusstraat 3 , 1502 NN Zaandam , Netherlands	fear
Canny wait for #JamesBond to come out in the pics ! #Buzzin	sadness
feels as though im slowly dyeing	sadness
<USER> <USER> yair no me dej	sadness
Week 49 heerlijk weekendje weg met mijn lief ! Naar Egmond aan zee ! ! ! !	joy
ugh ! i wanna cryy :( sana pla nung nag mall kme and nagpunta sa penshoppe nung 23 bumilii na ko , di ko alam eh :/ #hinayangFRE !	sadness
A very big #Thanksgiving to all from <USER>	joy
Up early this morning as it's Kenilworth half marathon day #feeltheburn	fear
NBA is back tonight ! #stoked #heat #raptors #nba	joy
That great moment of the morning when Starbucks calls your drink .	joy
I'm all alone in a room where I'm intimidated + Shaky	fear
One shall alway share the goods so it can continue coming back . #saynotogreed #winning	joy
Choosing to is a peaceful #protest . <USER> #changetheworld	trust
Just realised that my 100th tweet on this account was about chemistry ..	sadness
<USER> omg of all the things to troll cretin	disgust
I'm going to college . #dream #hopes #life #school #pursuit #of	joy
Getting angry at people when we listen to them breathing or eating is called Misophonia , which is an actual brain disorder .	surprise
The fact that my vote will be based on who I don't want in the White House more .. rather than who I'd want to run the country	sadness
is today no one message brooke back day or wat	sadness
""" You wanna kno how i'm the shit cuz i keep clogging up the toilet """	disgust
#GOD ! ! Fear as in respect , honor , reverence God ..	fear
You're in gr 7 .. Why do you have a million hickeys on your neck	disgust
Morning guys weekand #roti bakar an nescaffe #tersenyum	joy
Long distance relationships never work :(	sadness
<USER> <USER> real dat you put Calvin J . as da front cover of #maddennf13 GO #DETROITLIONS ! !	joy
yo pens que mi gato me amaba pero el puto tambi tiene novia	sadness
When people steal you're money <<<<	sadness
Shorts , croakies , football , summer 90s music , and the smell of BBQ on frat row #college #greeklife	joy
Indian old lady , puts her hand in her sari , and scratches like she never scratched before .	disgust
I seriously hate it when older men act like they've never seen a female before . Looking at me like im a piece of meat . #fckyou	fear
Ann , Bruce and I went to Selkirk Council of Churches service today - 50 % of collection going to #Katie's	trust
What is wrong with the world ? nearly 2 weeks ago 20 children were killed . And now to find out someone raped a 3 yearold . #world #change	sadness
Hombres metrosexuales , POR QU DIOS ? POOR QUE ? :(	sadness
I got 99 tampons cause a bitch ate one . #tamponvideo	disgust
This Has Turned Into One Random Night #WhyNot #ItsGnaBaGoodNight	joy
lmfao at what my sister just said	sadness
Lanhee Chen - Typical Dem , would rather waste his vote then vote for HIS party ! #Trump #SupportVets #BillMaher	sadness
. <USER> kloof street . Hey Guys , thanks for the speedy delivery , but you brought me the wrong side dish with my order :'(	sadness
What is this feeling ? I don't know but I love it . Every night since we met just gets better . #youmakemesmile #forever	joy
Wala parin pansinan pero Realtalk sumaya ko don . #Reunited	surprise
I predict death is like being zipped up in a sleeping bag by a loved one on a summer day . Not	sadness
- My Homeroom Teacher Dont Give A F . xck Wat We Do ! Lol	sadness
It worries me how these fucking idiots off towie earn more than a soldier #cbb	disgust
alice in wonderland was wonderfull ! i don't feel disappointed ..	joy
<USER> <USER> and you have no respect for the lives that are protecting your sorry ass's clean water	sadness
i think never get a tweet from <USER> #fact :(	sadness
Can I sell my feelings on eBay ? I don't want them any longer . #feelings #ebay #goaway #lonely #unwanted	sadness
Letsel 1 Van Blommesteynweg ROTTDM voetganger / auto - Van Blommesteynweg 42-44 , 3082 WE Rotterdam , Netherlands	fear
RIP Paul walker . There are no words to describe how much of an inspiration you were to me and millions of people ! #rip :(	sadness
Sick tonight & amp ; couldn't go but imma definately be there for the playoff game at home next week to cheer on our wildcats .	trust
is knowing your worth and loving yourself despite what anyone else says or thinks .	trust
I absolutely hate burger king .	disgust
I Just Wanna Be .. ! !	joy
Je les ai jamais vu bouger .. # d ut lavie	sadness
Money jar is almost empty .. #moneyjar #timetosellmorecrap	sadness
The hills are alive with the sound of music .. why am I watching this mum ?	sadness
At the movies .. seeing sex and the city .. by myself .	sadness
Do not be quickly provoked in your spirit , for anger resides in the lap of fools .	anger
Wish I wasn't completely skint ! Totally want to go to <USER> on saturday ! #someonegivememoney	sadness
Everything is possible #smile #SmileMoreForAGoodDay	joy
Wer , wenn nicht die Turner sagen sich : ' Aufstehen , Krone richten , weitergehen ' ? #keepon #etf2013	sadness
Knowing that we only have 2days of school this week ? ?	joy
J \ ' ai re mon <USER> ! :D !	joy
<USER> come on not this fri tho .. my test sat as shit	fear
"La felicit quando un uggioso sabato sera guardi "" i piccoli ninja "" e capisci perch da piccola lo amavi"	joy
<USER> I did & #Love #AllisonMack but cuz of Dr's & you fuk'n #LAditchPigGodHaters my faith in her has be shaken , not lost !	trust
""" Ternyata intuisiku tepat sekali . Cintamu bukan untuk ku miliki . Simpan saja janji dan alasanmu . """	trust
All people now a days just want attention	sadness
<USER> You must be a Criminal to ! #TREASON	sadness
oh god oh god I have so much to do before SDCC . Have you seen my list ? Oh , no , you haven't , because I HAVEN'T MADE A LIST YET .	fear
Just like that , <USER> is again , SPOT ON . #goodstuff	joy
Don't anyone #OneFreeAdvice	trust
